date,1. open,2. high,3. low,4. close,5. volume
2021-08-30 07:05:00,148.79,148.79,148.79,148.79,836.0
2021-08-30 07:03:00,148.78,148.78,148.78,148.78,763.0
2021-08-30 07:02:00,148.72,148.73,148.71,148.71,1401.0
2021-08-30 07:01:00,148.79,148.79,148.73,148.73,3816.0
2021-08-30 06:58:00,148.83,148.83,148.83,148.83,164.0
2021-08-30 06:44:00,148.87,148.87,148.87,148.87,150.0
2021-08-30 06:43:00,148.83,148.83,148.83,148.83,245.0
2021-08-30 06:41:00,148.87,148.87,148.87,148.87,258.0
2021-08-30 06:39:00,148.9,148.9,148.9,148.9,743.0
2021-08-30 06:35:00,149.0,149.0,148.89,148.89,1522.0
2021-08-30 06:31:00,149.04,149.05,149.04,149.05,972.0
